"id","partisan_score","misinfo_score","misinfo_score_weighted"
37813045,1,0.704,0.67
146746740,1,0.713,0.732
526794855,1,0.552,0.553
2227722763,0.6,0.505,0.568
1159570938,1,0.686,0.698
1608587778,-1,0.405,0.466
2201496456,0.667,0.713,0.745
205371115,1,0.778,0.816
2320660100,0.5,0.79,0.79
1421978605,NA,0.464,0.448
3315618334,0.556,0.688,0.707
2967100787,1,0.709,0.745
1540451515,1,0.668,0.669
9.57e+17,NA,NA,NA
461261482,NA,NA,NA
2321279598,1,0.744,0.723
338633208,1,0.683,0.385
478304839,0.946,0.68,0.712
423840360,1,0.716,0.71
823454042,0.911,0.71,0.727
619445394,NA,NA,NA
227163090,NA,0.65,0.651
2707632522,1,0.478,0.88
348159792,NA,NA,NA
52477148,0.6,0.7,0.635
18211084,NA,0.475,0.475
43366645,1,0.692,0.634
15256895,NA,0.552,0.485
290920331,-0.833,0.472,0.514
27554271,1,0.727,0.762
8.87e+17,NA,NA,NA
125630810,1,0.771,0.762
1343300730,0.903,0.681,0.692
2915954031,1,0.599,0.297
2348901577,NA,0,0
68270085,1,0.629,0.608
380615331,NA,NA,NA
525857359,-0.415,0.462,0.487
1140436597,0.6,0.632,0.661
493971121,0.75,0.636,0.61
1078322076,0.6,0.617,0.56
914254440,1,0.708,0.774
308205570,0.889,0.774,0.796
560035562,0.806,0.665,0.628
8.04e+17,NA,NA,NA
240828648,0.562,0.614,0.587
8.72e+17,NA,NA,NA
552342881,0.556,0.705,0.629
207703739,1,0.698,0.782
10621932,0.782,0.578,0.581
253637278,0.895,0.691,0.746
1630672904,0.962,0.704,0.701
288934158,1,0.631,0.649
372787472,0.778,0.694,0.718
29095917,1,0.657,0.675
2531172553,1,0.692,0.687
7.51e+17,NA,NA,NA
3207497417,-0.25,0.625,0.744
381031561,0.909,0.644,0.593
345995059,0.333,0.64,0.668
2946492251,0,0.606,0.678
42418695,0.846,0.742,0.772
7.85e+17,NA,NA,NA
251869750,0.333,0.409,0.494
2687350262,0.5,0.636,0.622
49698441,0.929,0.666,0.71
977087550,NA,NA,NA
1869523958,0.939,0.652,0.658
349049168,1,0.654,0.654
1509443935,0.931,0.716,0.753
2841504093,0.8,0.605,0.634
885474422,0.922,0.685,0.711
3352672901,NA,NA,NA
240318436,1,0.743,0.726
340481991,1,0.707,0.705
157438443,1,0.631,0.644
2432830728,-1,0.462,0.478
3006690178,1,0.704,0.699
8.85e+17,NA,NA,NA
612931307,0.826,0.686,0.719
136788408,1,0.71,0.705
1423123200,0.556,0.65,0.612
27007685,0,0.61,0.524
3418588623,0.818,0.722,0.668
52989817,0.961,0.625,0.617
2998532843,0.857,0.675,0.755
2248127619,NA,NA,NA
7.94e+17,NA,NA,NA
2608452822,0.953,0.701,0.706
4746198495,1,0.847,0.86
1398528284,1,0.681,0.709
9.12e+17,NA,NA,NA
13964152,1,0.756,0.803
3333795492,1,0.764,0.791
825270691,1,0.721,0.735
506536593,1,0.693,0.687
9.91e+17,NA,NA,NA
371376316,1,0.72,0.74
3035178282,1,0.798,0.799
521996289,-1,0.414,0.398
9.42e+17,NA,NA,NA
36028927,1,0.716,0.699
2362146442,0.833,0.574,0.548
1284385014,-1,0.461,0.435
33237036,NA,0.84,0.84
442569146,0,0.513,0.536
26580559,0.867,0.721,0.794
1884977676,-0.928,0.43,0.431
1523692830,NA,NA,NA
74138446,1,0.781,0.741
613802332,1,0.69,0.683
2880236115,1,0.852,0.903
8.68e+17,NA,NA,NA
3526430362,1,1,1
8.31e+17,NA,NA,NA
7.11e+17,NA,NA,NA
175339579,-1,0.493,0.454
2912957057,1,0.375,0.375
8.83e+17,NA,NA,NA
430441622,1,0.78,0.804
212273141,1,0.782,0.779
1538993023,NA,0.626,0.63
8.25e+17,NA,NA,NA
426838321,1,0.713,0.717
3140868280,NA,NA,NA
245750555,-0.455,0.503,0.58
1611503244,1,0.715,0.808
1132637930,0.926,0.698,0.703
30101545,0.862,0.692,0.704
3040066599,0.333,0.534,0.446
21772402,0.941,0.709,0.706
2954187002,NA,NA,NA
340121606,1,0.712,0.647
400475649,0.979,0.659,0.653
3293407354,1,0.563,0.526
2168526940,1,0.747,0.918
71384704,0.829,0.649,0.657
754173968,NA,NA,NA
2504143856,1,0.857,0.857
4322065997,-0.643,0.431,0.415
364246876,-1,0.533,0.619
1476036282,1,1,1
